Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S35238044,American Wigeon,Anas americana,386,35,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-17-2017,11:12 AM,eBird - Stationary Count,30,1,,,1
S35501895,American Wigeon,Anas americana,386,18,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35207103,Mallard,Anas platyrhynchos,396,X,GB-ENG,Cambridgeshire,River Cam,52.2095264,.1162362,09-25-2000,10:00 AM,eBird - Casual Observation,0,0,,,2
S37402860,Mallard,Anas platyrhynchos,396,4,PT-11,Lisboa,Campo dos Mártires da Pátria,38.7214235,-9.1399786,06-05-2017,04:30 PM,eBird - Traveling Count,7,1,.2,,3
S37422552,Mallard,Anas platyrhynchos,396,28,PT-11,Lisboa,Jardins da Fundação Calouste Gulbenkian,38.7372396,-9.1533645,06-06-2017,02:54 PM,eBird - Traveling Count,15,1,.8,,2
S35447772,Mallard,Anas platyrhynchos,396,8,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35546487,Mallard,Anas platyrhynchos,396,4,US-CA,Marin,Pt. Reyes--Limantour Beach Path,38.0268982,-122.8827238,03-30-2017,12:45 PM,eBird - Traveling Count,20,1,.8,,2
S35501895,Mallard,Anas platyrhynchos,396,3,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35329742,Mallard,Anas platyrhynchos,396,1,US-CA,Santa Barbara,Mission Creek outflow (SBA Co.),34.4127959,-119.6869361,03-21-2017,09:10 AM,eBird - Casual Observation,,0,,,1
S35394965,Mallard,Anas platyrhynchos,396,2,US-CA,Santa Barbara,Santa Barbara Airport,34.4256039,-119.8365742,03-24-2017,10:43 AM,eBird - Traveling Count,20,1,.3,,1
S35651135,Mallard,Anas platyrhynchos,396,8,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S37551815,Mallard,Anas platyrhynchos,396,2,PT-13,Vila Nova de Gaia,Barragem de Crestula-Lever,41.0722408,-8.4865713,06-12-2017,11:00 AM,eBird - Stationary Count,15,1,,,2
S37327546,Mallard,Anas platyrhynchos,396,2,LU-D,,Dirbach Plage,49.9212458,6.0357885,06-02-2017,08:35 AM,eBird - Stationary Count,45,1,,,1
S37335264,Mallard,Anas platyrhynchos,396,2,LU-D,,Dirbach Plage,49.9212458,6.0357885,06-02-2017,04:38 PM,eBird - Stationary Count,28,1,,,1
S37371062,Mallard,Anas platyrhynchos,396,2,LU-D,,Dirbach Plage,49.9212458,6.0357885,06-04-2017,10:24 AM,eBird - Traveling Count,75,0,.5,,1
S33880479,Mallard,Anas platyrhynchos,396,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S37202092,Mallard,Anas platyrhynchos,396,6,NL-NH,,Vondelpark,52.3579375,4.867512,05-28-2017,09:45 AM,eBird - Traveling Count,85,1,1.5,,2
S37227254,Mallard,Anas platyrhynchos,396,12,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:45 AM,eBird - Traveling Count,70,1,3,,1
S37240929,Mallard,Anas platyrhynchos,396,2,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:30 PM,eBird - Stationary Count,30,1,,,1
S37282104,Mallard,Anas platyrhynchos,396,4,NL-NH,,Vondelpark,52.3579375,4.867512,05-30-2017,08:34 PM,eBird - Traveling Count,15,1,1.2,,1
S36081411,Pacific Black Duck,Anas superciliosa,418,10,AU-NSW,,"AU-Nova Gales do Sul-Queens Park-Musgrave Avenue - -33,902x151,242",-33.9015289,151.2423158,04-19-2017,10:16 AM,eBird - Stationary Count,12,1,,,1
S33423571,Pacific Black Duck,Anas superciliosa,418,30,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-04-2017,02:01 PM,eBird - Stationary Count,10,1,,,1
S33870380,Pacific Black Duck,Anas superciliosa,418,2,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-23-2017,09:21 AM,eBird - Traveling Count,36,1,.8,,1
S33894599,Pacific Black Duck,Anas superciliosa,418,40,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Pacific Black Duck,Anas superciliosa,418,55,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Pacific Black Duck,Anas superciliosa,418,18,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Pacific Black Duck,Anas superciliosa,418,68,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Pacific Black Duck,Anas superciliosa,418,50,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Pacific Black Duck,Anas superciliosa,418,35,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Pacific Black Duck,Anas superciliosa,418,30,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
S37077499,Pacific Black Duck,Anas superciliosa,418,40,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,05-23-2017,08:45 AM,eBird - Traveling Count,35,1,.8,,3
S37766357,Pacific Black Duck,Anas superciliosa,418,35,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-24-2017,03:28 PM,eBird - Traveling Count,60,1,3,,1
S37838584,Pacific Black Duck,Anas superciliosa,418,65,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-27-2017,04:23 PM,eBird - Traveling Count,40,1,2.5,,1
S35932805,Pacific Black Duck,Anas superciliosa,418,16,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S34081840,Pacific Black Duck,Anas superciliosa,418,X,AU-VIC,,Great Ocean Walk--Cape Otway to Aire River,-38.83421,143.48869,12-22-2015,05:45 PM,eBird - Casual Observation,0,0,,,2
S33919977,Pacific Black Duck,Anas superciliosa,418,4,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-25-2017,05:14 PM,eBird - Stationary Count,8,1,,,1
S33919948,Pacific Black Duck,Anas superciliosa,418,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-25-2017,05:35 PM,eBird - Traveling Count,13,1,.4,,1
S34041186,Pacific Black Duck,Anas superciliosa,418,8,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-30-2017,05:58 PM,eBird - Stationary Count,33,1,,,1
S34084833,Pacific Black Duck,Anas superciliosa,418,8,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-01-2017,05:13 PM,eBird - Stationary Count,36,1,,,1
