Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S35651135,Nuttall's Woodpecker,Picoides nuttallii,11147,1,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S35477932,Downy Woodpecker,Picoides pubescens,11148,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-27-2017,01:30 PM,eBird - Traveling Count,35,1,.4,,2
S35216532,Northern Flicker,Colaptes auratus,11308,2,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-16-2017,10:43 AM,eBird - Traveling Count,70,1,2.5,,1
S37418803,Eurasian Kestrel,Falco tinnunculus,11581.56,1,PT-11,Lisboa,matim moniz,38.7157424,-9.1368854,06-05-2017,07:30 PM,eBird - Casual Observation,,0,,,1,F Flyover
S33920193,Australian Kestrel,Falco cenchroides,11581.76,X,AU-NT,,Kakadu National Park--South Alligator boatramp,-12.6609191,132.5041294,06-17-2014,09:45 AM,eBird - Casual Observation,0,0,,,3
S36612401,Australian Kestrel,Falco cenchroides,11581.76,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Australian Kestrel,Falco cenchroides,11581.76,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S35074872,Australian Kestrel,Falco cenchroides,11581.76,1,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,03-10-2017,11:11 AM,eBird - Casual Observation,,0,,,1,,,"Hovering over construction site, then mobbed by magpie larks"
S35932805,Australian Hobby,Falco longipennis,11582.31,1,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S36612401,Brown Falcon,Falco berigora,11582.35,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Brown Falcon,Falco berigora,11582.35,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S35651135,Peregrine Falcon,Falco peregrinus,11582.61,1,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S33912442,Kea,Nestor notabilis,11582.9,2,NZ-OTA,Queenstown-Lakes District,Routeburn Shelter,-44.718219,168.27805,03-14-2016,07:15 AM,eBird - Casual Observation,0,0,,,2
S34596992,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,3,AU-NSW,,AU-New South Wales-Seal Rocks-Horse Point Road - -32.398x152.485,-32.3977925,152.4854876,02-21-2017,09:50 AM,eBird - Casual Observation,,0,,,1
S36294417,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,6,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-27-2017,09:34 AM,eBird - Casual Observation,,0,,,1
S37766357,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,18,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-24-2017,03:28 PM,eBird - Traveling Count,60,1,3,,1
S33188646,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,7,AU-TAS,,Douglas Apsley National Park--Apsley Waterhole,-41.8627855,148.1861901,12-25-2016,07:55 PM,eBird - Stationary Count,25,1,,,2,F Flyover
S35932805,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,75,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2,,Conservative estimate. Counted portions of the flock several times.
S36243760,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,15,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-25-2017,10:09 AM,eBird - Casual Observation,,0,,,1,,,"Drinking, near Eastern edge of ponds"
S34233068,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,6,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,02-08-2017,12:46 PM,eBird - Traveling Count,10,1,1,,1,F Flyover
S34661536,Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,11583.1,2,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-23-2017,08:39 AM,eBird - Casual Observation,,0,,,1
S34312002,Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,11583.14,X,AU-WA,,Forrest Hwy at South Yunderup Road,-32.5857297,115.8146954,11-27-2016,07:00 AM,eBird - Casual Observation,0,0,,,2
S36612401,Gang-gang Cockatoo,Callocephalon fimbriatum,11583.17,10,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4,,"Observed at dusk, males, females, and juveniles present"
S33795822,Gang-gang Cockatoo,Callocephalon fimbriatum,11583.17,8,AU-NSW,,Rainbow Lake Walk,-36.3609626,148.4863527,01-20-2017,02:46 PM,eBird - Casual Observation,,0,,,1
S36374995,Galah,Eolophus roseicapilla,11583.21,2,AU-NSW,,James holder reserve,-33.880423,151.2127303,04-29-2017,10:02 AM,eBird - Casual Observation,,0,,,2,N Visiting Probable Nest Site
S36612401,Galah,Eolophus roseicapilla,11583.21,8,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Galah,Eolophus roseicapilla,11583.21,8,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S36778624,Galah,Eolophus roseicapilla,11583.21,2,AU-NSW,,"The James Hilder Reserve, Surry Hills",-33.8806415,151.2125319,05-13-2017,10:00 AM,eBird - Stationary Count,5,1,,,2,N Visiting Probable Nest Site
S37801999,Galah,Eolophus roseicapilla,11583.21,2,AU-NSW,,"The James Hilder Reserve, Surry Hills",-33.8806415,151.2125319,06-26-2017,10:26 AM,eBird - Stationary Count,4,1,,,1,N Visiting Probable Nest Site
S33423571,Long-billed Corella,Cacatua tenuirostris,11583.25,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-04-2017,02:01 PM,eBird - Stationary Count,10,1,,,1
S33894599,Long-billed Corella,Cacatua tenuirostris,11583.25,30,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Long-billed Corella,Cacatua tenuirostris,11583.25,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Long-billed Corella,Cacatua tenuirostris,11583.25,9,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Long-billed Corella,Cacatua tenuirostris,11583.25,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Long-billed Corella,Cacatua tenuirostris,11583.25,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Long-billed Corella,Cacatua tenuirostris,11583.25,8,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Long-billed Corella,Cacatua tenuirostris,11583.25,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
S37838584,Long-billed Corella,Cacatua tenuirostris,11583.25,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-27-2017,04:23 PM,eBird - Traveling Count,40,1,2.5,,1
S36224049,Little Corella,Cacatua sanguinea,11583.29,60,AU-NSW,,"AU-Nova Gales do Sul-Randwick-Chancellery Walk - -33,917x151,235",-33.9165557,151.2345377,04-24-2017,06:11 PM,eBird - Casual Observation,,0,,,1,,,Medium sized flock roosting in two Gumtrees for the night
S34195038,Little Corella,Cacatua sanguinea,11583.29,60,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-06-2017,05:38 PM,eBird - Traveling Count,3,1,.2,,1
S34327365,Little Corella,Cacatua sanguinea,11583.29,6,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-13-2017,08:28 AM,eBird - Stationary Count,3,1,,,1
S34339252,Little Corella,Cacatua sanguinea,11583.29,1,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-13-2017,06:35 PM,eBird - Traveling Count,6,1,.2,,1
S34397268,Little Corella,Cacatua sanguinea,11583.29,18,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-16-2017,05:31 PM,eBird - Traveling Count,8,1,.2,,1
S34778571,Little Corella,Cacatua sanguinea,11583.29,90,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-25-2017,05:24 PM,eBird - Traveling Count,9,1,.3,,1,,"Very large flock, circling and begging for food"
S35056293,Little Corella,Cacatua sanguinea,11583.29,22,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,03-09-2017,02:44 PM,eBird - Traveling Count,13,1,.3,,1
S33870380,Little Corella,Cacatua sanguinea,11583.29,60,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-23-2017,09:21 AM,eBird - Traveling Count,36,1,.8,,1,,Large flock circling
S33894599,Little Corella,Cacatua sanguinea,11583.29,35,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Little Corella,Cacatua sanguinea,11583.29,90,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Little Corella,Cacatua sanguinea,11583.29,60,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Little Corella,Cacatua sanguinea,11583.29,90,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Little Corella,Cacatua sanguinea,11583.29,45,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Little Corella,Cacatua sanguinea,11583.29,80,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Little Corella,Cacatua sanguinea,11583.29,340,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1,,Several very large flocks looking for places to spend the evening
S37077499,Little Corella,Cacatua sanguinea,11583.29,25,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,05-23-2017,08:45 AM,eBird - Traveling Count,35,1,.8,,3
S37766357,Little Corella,Cacatua sanguinea,11583.29,95,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-24-2017,03:28 PM,eBird - Traveling Count,60,1,3,,1
S37838584,Little Corella,Cacatua sanguinea,11583.29,110,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-27-2017,04:23 PM,eBird - Traveling Count,40,1,2.5,,1
S35932805,Little Corella,Cacatua sanguinea,11583.29,6,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S34041186,Little Corella,Cacatua sanguinea,11583.29,20,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-30-2017,05:58 PM,eBird - Stationary Count,33,1,,,1,F Flyover
S34084833,Little Corella,Cacatua sanguinea,11583.29,35,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-01-2017,05:13 PM,eBird - Stationary Count,36,1,,,1,F Flyover
S34103569,Little Corella,Cacatua sanguinea,11583.29,16,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-02-2017,06:31 PM,eBird - Stationary Count,22,1,,,1,F Flyover
S34217575,Little Corella,Cacatua sanguinea,11583.29,25,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-07-2017,04:27 PM,eBird - Stationary Count,38,1,,,1,F Flyover
S34254056,Little Corella,Cacatua sanguinea,11583.29,6,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-09-2017,05:12 PM,eBird - Stationary Count,27,1,,,1
S34378128,Little Corella,Cacatua sanguinea,11583.29,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-15-2017,05:20 PM,eBird - Stationary Count,35,1,,,1
S34836062,Little Corella,Cacatua sanguinea,11583.29,6,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-27-2017,05:56 PM,eBird - Stationary Count,35,1,,,1
S34879984,Little Corella,Cacatua sanguinea,11583.29,8,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-01-2017,12:17 PM,eBird - Traveling Count,11,1,.2,,1
S34888521,Little Corella,Cacatua sanguinea,11583.29,12,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-01-2017,06:18 PM,eBird - Stationary Count,35,1,,,1
S35037821,Little Corella,Cacatua sanguinea,11583.29,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-08-2017,05:18 PM,eBird - Stationary Count,9,1,,,1
S35891216,Little Corella,Cacatua sanguinea,11583.29,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-12-2017,03:53 PM,eBird - Stationary Count,10,1,,,1
S36082236,Little Corella,Cacatua sanguinea,11583.29,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,10:41 AM,eBird - Traveling Count,22,1,.3,,1
S36086982,Little Corella,Cacatua sanguinea,11583.29,15,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,04:59 PM,eBird - Stationary Count,14,1,,,1
S34369080,Little Corella,Cacatua sanguinea,11583.29,5,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,02-15-2017,09:08 AM,eBird - Stationary Count,3,1,,,1
S34327365,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,2,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-13-2017,08:28 AM,eBird - Stationary Count,3,1,,,1
S33915045,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,X,AU-NSW,,Blue Mountains National Park--Giant Stairway,-33.7377843,150.3143535,11-15-2013,09:00 AM,eBird - Casual Observation,0,0,,,2
S33870380,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,2,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-23-2017,09:21 AM,eBird - Traveling Count,36,1,.8,,1
S33894599,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,2,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,3,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,8,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,8,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
S37077499,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,3,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,05-23-2017,08:45 AM,eBird - Traveling Count,35,1,.8,,3
S37838584,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,18,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-27-2017,04:23 PM,eBird - Traveling Count,40,1,2.5,,1
S34795106,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Darlinghurst,-33.88032,151.21907,02-26-2017,08:52 AM,eBird - Traveling Count,4,1,.4,,2
S34081840,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,X,AU-VIC,,Great Ocean Walk--Cape Otway to Aire River,-38.83421,143.48869,12-22-2015,05:45 PM,eBird - Casual Observation,0,0,,,2
S33919948,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,5,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-25-2017,05:35 PM,eBird - Traveling Count,13,1,.4,,1
S34041186,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,6,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-30-2017,05:58 PM,eBird - Stationary Count,33,1,,,1
S34084833,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-01-2017,05:13 PM,eBird - Stationary Count,36,1,,,1
S34103569,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-02-2017,06:31 PM,eBird - Stationary Count,22,1,,,1
S34217575,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,4,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-07-2017,04:27 PM,eBird - Stationary Count,38,1,,,1
S34254056,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,4,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-09-2017,05:12 PM,eBird - Stationary Count,27,1,,,1
S34378128,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,3,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-15-2017,05:20 PM,eBird - Stationary Count,35,1,,,1
S34836062,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-27-2017,05:56 PM,eBird - Stationary Count,35,1,,,1
S36082236,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,10:41 AM,eBird - Traveling Count,22,1,.3,,1
S36612401,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,6,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,2,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S37690582,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,5,AU-NSW,,"Little Riley St, Surry Hills",-33.8807239,151.2132166,06-20-2017,10:09 AM,eBird - Stationary Count,3,1,,,1
S33880644,Sulphur-crested Cockatoo,Cacatua galerita,11583.44,2,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,01-23-2017,05:55 PM,eBird - Traveling Count,7,1,.3,,1
S33915184,Australian King-Parrot,Alisterus scapularis,11587.19,1,AU-NSW,,Ku-ring-gai Chase National Park--Jerusalem Bay,-33.5907423,151.1930752,02-10-2016,09:00 AM,eBird - Casual Observation,0,0,,,2
S36612401,Australian King-Parrot,Alisterus scapularis,11587.19,8,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Australian King-Parrot,Alisterus scapularis,11587.19,2,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S34661536,Australian King-Parrot,Alisterus scapularis,11587.19,3,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-23-2017,08:39 AM,eBird - Casual Observation,,0,,,1
S37624934,Alexandrine Parakeet,Psittacula eupatria,11587.4,2,NL-NH,,"NL-Amsterdão-133 Theodoor van Hoytemastraat - 52,361x4,838 - 16/06/2017 7:54 da tarde",52.360541,4.8381545,06-16-2017,06:42 PM,eBird - Traveling Count,40,1,.5,,1
S37202092,Alexandrine Parakeet,Psittacula eupatria,11587.4,2,NL-NH,,Vondelpark,52.3579375,4.867512,05-28-2017,09:45 AM,eBird - Traveling Count,85,1,1.5,,2
S37227254,Alexandrine Parakeet,Psittacula eupatria,11587.4,2,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:45 AM,eBird - Traveling Count,70,1,3,,1
S37240929,Alexandrine Parakeet,Psittacula eupatria,11587.4,1,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:30 PM,eBird - Stationary Count,30,1,,,1
S33881934,Rose-ringed Parakeet,Psittacula krameri,11587.47,X,IN-RJ,Jodhpur,"Rao Jodha Desert Rock Park, Jodhpur",26.3020716,73.0162096,03-15-2015,04:35 PM,eBird - Casual Observation,0,0,,,2
S37624934,Rose-ringed Parakeet,Psittacula krameri,11587.47,4,NL-NH,,"NL-Amsterdão-133 Theodoor van Hoytemastraat - 52,361x4,838 - 16/06/2017 7:54 da tarde",52.360541,4.8381545,06-16-2017,06:42 PM,eBird - Traveling Count,40,1,.5,,1
S37202092,Rose-ringed Parakeet,Psittacula krameri,11587.47,8,NL-NH,,Vondelpark,52.3579375,4.867512,05-28-2017,09:45 AM,eBird - Traveling Count,85,1,1.5,,2
S37227254,Rose-ringed Parakeet,Psittacula krameri,11587.47,8,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:45 AM,eBird - Traveling Count,70,1,3,,1
S37240929,Rose-ringed Parakeet,Psittacula krameri,11587.47,8,NL-NH,,Vondelpark,52.3579375,4.867512,05-29-2017,07:30 PM,eBird - Stationary Count,30,1,,,1
S37282104,Rose-ringed Parakeet,Psittacula krameri,11587.47,4,NL-NH,,Vondelpark,52.3579375,4.867512,05-30-2017,08:34 PM,eBird - Traveling Count,15,1,1.2,,1
S33872629,Australian Ringneck,Barnardius zonarius,11587.77541,2,AU-WA,,Yallingup Beach Resort,-33.6391685,115.0260079,11-24-2016,06:00 PM,eBird - Casual Observation,0,0,,,2
S33201919,Green Rosella,Platycercus caledonicus,11587.77546,2,AU-TAS,,Douglas Apsley National Park--Apsley Waterhole,-41.8627855,148.1861901,12-26-2016,06:50 PM,eBird - Stationary Count,15,1,,,1
S33875124,Green Rosella,Platycercus caledonicus,11587.77546,2,AU-TAS,,Lake St Clair--Narcissus Bay,-42.01537,146.10649,12-24-2016,06:00 PM,eBird - Casual Observation,0,0,,,2
S33915045,Crimson Rosella,Platycercus elegans,11587.775465,2,AU-NSW,,Blue Mountains National Park--Giant Stairway,-33.7377843,150.3143535,11-15-2013,09:00 AM,eBird - Casual Observation,0,0,,,2,N Visiting Probable Nest Site
S36612401,Crimson Rosella,Platycercus elegans,11587.775465,6,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Crimson Rosella,Platycercus elegans,11587.775465,4,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S33795822,Crimson Rosella,Platycercus elegans,11587.775465,2,AU-NSW,,Rainbow Lake Walk,-36.3609626,148.4863527,01-20-2017,02:46 PM,eBird - Casual Observation,,0,,,1
S36612401,Eastern Rosella,Platycercus eximius,11587.77552,4,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Eastern Rosella,Platycercus eximius,11587.77552,2,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S34229604,Pale-headed Rosella,Platycercus adscitus,11587.77554,X,AU-QLD,,Cape Hillsborough National Park--Diversity Boardwalk,-20.9224,149.03265,06-29-2015,08:00 AM,eBird - Casual Observation,0,0,,,2
S35932805,Red-rumped Parrot,Psephotus haematonotus,11587.775605,2,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S36612401,Red-rumped Parrot,Psephotus haematonotus,11587.775605,28,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4,,frequenting large snag in the middle of the valley
S36612515,Red-rumped Parrot,Psephotus haematonotus,11587.775605,22,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S35932805,Musk Lorikeet,Glossopsitta concinna,11587.77617,6,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S36612401,Musk Lorikeet,Glossopsitta concinna,11587.77617,2,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,Musk Lorikeet,Glossopsitta concinna,11587.77617,2,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S34907512,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,1,AU-NSW,,AU-New South Wales-Randwick-9A Arthur Street - -33.915x151.236,-33.9148602,151.2362741,03-02-2017,02:04 PM,eBird - Traveling Count,18,1,.5,,1
S35706548,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,2,AU-NSW,,"AU-Nova Gales do Sul-Randwick-26-28 Arthur Street - -33,915x151,238",-33.9151011,151.2375878,04-05-2017,01:14 PM,eBird - Traveling Count,8,1,.8,,1
S38090135,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,8,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,07-12-2017,08:54 AM,eBird - Stationary Count,9,1,,,1
S34023341,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,3,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,6,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Rainbow Lorikeet,Trichoglossus haematodus,11587.776295,12,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
